,text,date,author,author_level,mark,museum,avg_mark,num_reviews
88,"Море эмоций от увиденного. Мозг кипит, но интересно, дополнить культурную программу - очень крутое место! Берите аудиогид и фотоаппарат, загляните везде. Всё, что можно потрогать, потрогайте. 😊",11 января 2020,Маргарита Нестерова,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
89,Люблю это место. Атмосферно и практически всегда отличные выставки,9 ноября 2020,Алексей К.,Знаток города 14 уровня,5,музей Гараж,"4,5",1061
90,"Рекомендую, очень интересное место, всегда проходят разные выставки и перформансы, много творческих и талантливых людей посещает Гараж.",23 июня 2020,Сергей .,Знаток города 19 уровня,5,музей Гараж,"4,5",1061
91,"Неплохой музей! Как хорошо, что он расположен в парке большого города!",20 ноября 2020,Руслан Красавчик,Знаток города 12 уровня,4,музей Гараж,"4,5",1061
92,"Самая убогая, деградирующая, ""модная"", выставка, если это вообще можно выставкой назвать. 
Из телефонной будки доносится матерная брань, поклонение массонам и другая дичь!
Если вы образованный и разбирающийся в искусстве- за 500 рублей вы получите только разочарование. Отзывы положительные накручены, т.к. точно знаю, что они их покупают
ещё",17 сентября 2020,Александр П.,Знаток города 4 уровня,1,музей Гараж,"4,5",1061
93,"Сдаю Детскую одежду в гардероб, а мне говорят:
Я ваши комбинезоны уберу в ячейки, ведь вешалок даже взрослым не хватает. Суббота у музея тяжёлый день.",13 февраля,corpa-ipnikitinvv09267,Знаток города 3 уровня,1,музей Гараж,"4,5",1061
94,"самый любимый музей. есть и кафе в котором вкусный кофе, и самая большая скидка на кофе в свою кружку, и работники все лапочки, красивые вещи в их магазине. считаю его обязательным местом посещения в Москве.",7 сентября 2019,hyhankableba,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
95,Один из лучших выставочных галлерей в Москве. Каждая выставка представляет собой уникальное сочетание экспозиций. Обязательна к посещению всеми студентами и школьниками. Людям старшего и пенсионного возраста может быть не так интересно в силу специфики проходящих там выставок.,8 октября 2019,Данила,Знаток города 3 уровня,5,музей Гараж,"4,5",1061
96,"Пространство классное и современное👍🏼, но энергетика мне не очень понравилась. Пусть кто-то считает, что это всё чушь, но, имхо, чёт там не так🤷🏽‍♀️🤷🏽‍♀️🤷🏽‍♀️ Знаете, люди бывают такие. Красивые, одеты модно. Но не душевные. Не добрые. Повторить встречу не захотелось. Я не знаю, в чём дело. Может индивидуальное восприятие. Но скорее всего там есть причина.
ещё",5 апреля 2020,Дарья К.,Знаток города 9 уровня,4,музей Гараж,"4,5",1061
97,"Галерея, может, неплохая, но организация ниже плинтуса. приехала 14 марта, в субботу, к 16 часам, за определенной книгой в их арт-магазине, все оказалось закрыто. по телефону девушка-сотрудница голосом вежливого биоробота ответила, что они везде оповестили всех, по всем соцсетям, что Гараж закрыт в связи с ситуацией с вирусом. Все отлично, но только никто не удосужился из кучи сотрудников, поместить объявление о закрытии на стены самого музея. Не только я, но и другие люди подошедшие к зданию напрасно пытались войти. Судя по всему сотрудникам и руководству наплевать на живых посетителей, все ушли в инстаграмм и фейсбук.
ещё",14 марта 2020,Татьяна,Знаток города 4 уровня,1,музей Гараж,"4,5",1061
98,"В гараже бывал много раз. Радует его современная направленность. Сюда стоит прийти, как минимум, что бы расширить свои горизонты. Для этого музей постоянно организует интересные и необычные выставки. Внутри все по уму — гардеробная, кафе, библиотека и выставочные залы. Лучше приходить утром — меньше народу.",22 февраля 2020,Andre S,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
99,"Самое любимое место, ходим туда всей семьёй. Дочка 6 лет узнает Мураками. Так ей понравилась его выставка, что теперь про этоТ музей так и говорит: «Пойдём к Мураками». Выставки всегда отличные, ребёнку нравится. Пивоваров из последних тоже понравился. До этого был Марсель Бротарс. Его интервью с котом ребёнок вспоминает до сих пор. Потрясающее кафе. Всегда свежая еда, приготовленная в режиме онлайн. Мы туда ходим за эстетическим наслаждением, ну и в кафе сидим тоже с превеликим удовольствием, публика заслуживает отдельного поста. Приятно смотреть на посетителей. Всем рекомендуем,
ещё",16 апреля 2019,Елена Алексеева-Слободская,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
100,"Классное место, ещё бы охрана попроще была на входе. А то такое впечатление что на аудиенцию к Абрамовичу идёшь а не в музей.",8 декабря 2020,Vladimir Timchuk,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
101,Лучшее место. Лучшее кафе. И можно оставить чаевые через CloudTips. Все круто),5 декабря 2020,Никита А.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
102,"Череп не видел, а так всё на уровне
Приятная атмосфера, отличные экспонаты, тематика мне интересна, добавить бы аудиогиды для всего представленного ассортимента",25 февраля 2020,А. С.,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
103,"Понравились выставки и понравилось пространство. Хорошо спроектированный, просторный, с витринными окнами, через которые свет буквально заливает внутреннее пространство. Еще очень хороший магазин, где можно купить как российскую так и иностранную литературу по искусству, архитектуре, фотографии, в том числе подарочные издания.
ещё",24 сентября 2020,Serg Ra.,Знаток города 15 уровня,5,музей Гараж,"4,5",1061
104,"Супер место! Здесь проводятся множество интересных фестивалей, отличное место для встреч с друзьями и семьёй. Красивый вид, близкое местоположение фонтана, прекрасные газоны и цветники.",24 июля 2019,Анастасия,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
105,"В кафе мало сидячих мест и много бесполезного , никак не используемого пространства. Не уютно.",21 октября 2020,Евгений Ведров,Знаток города 7 уровня,3,музей Гараж,"4,5",1061
106,Выставки и мероприятия завораживают каждый раз как ни приходишь. И это с невероятно классной атмосферой.,5 сентября 2020,Иван Кандрашин,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
107,"Бывают действительно интересные выставки. Народа много почти всегда, это сильно мешает. Кафе и книжная лавка дороговаты. В целом, приятно.",21 февраля 2020,Ксения Ш.,Знаток города 12 уровня,4,музей Гараж,"4,5",1061
108,"Современный музей, как результат - никогда не знаешь заранее, интересная выставка или нет. Но элемент неопределенности нельзя считать недостатком. Понимание, что не Пушкинский и Третьяковка, поможет принять необычность экспонатов и оправдать ожидания, хотя бы в плане неожиданеости.",23 апреля 2020,Наталибур,Знаток города 7 уровня,4,музей Гараж,"4,5",1061
109,"Ожидала большего. Выставка была посвящена экологии. 3 этажа, ориентироваться достаточно просто. В принципе, неплохо, некоторые экспонаты впечатлили, но размаха выставке с такой тематикой не хватало, 500 руб. считаю дорого для нее.",20 ноября 2019,Алевтина Верина,Знаток города 3 уровня,4,музей Гараж,"4,5",1061
110,"Музей интересный, но на любителя. Современное искусство многие не очень любят и понимают. Но я советую посетить.",31 июля 2020,Наталья Гордеева,Знаток города 15 уровня,4,музей Гараж,"4,5",1061
111,"Дизайнерское арт пространство самого музея радует больше, чем текущие выставки. В экспозиции ""секретиков"" и ""белых снов"" больше претензии, чем чувства.
Зато бесплатно для многодетных, и для всех остальных традиционно льготных категорий. 
Спасибо.))",1 марта 2020,Anahata Hut,Знаток города 3 уровня,4,музей Гараж,"4,5",1061
112,"В Гараже всегда будет интересно тем, кто хочет узнать что-то новое. Выставки именитых художников, лекции о самых разных аспектах искусства в современном обществе, всё это страшно интересно и доступно даже человеку, далекому от авангарда. Техническое оснащение музея на высоте, персонал всегда стремится помочь, рассказать что-то. Гиды умеют вовлекать и вообще очень образованные люди, которых приятно слушать.
ещё",14 августа 2019,Faceless,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
113,"Само здание музея очень классное, магазин офигенный. Выставки всегда интересные, но для любителей современного искусства.",19 февраля 2020,Екатерина Делягина,Знаток города 20 уровня,5,музей Гараж,"4,5",1061
114,"Замечательное пространство! Посетил впервые, сразу же приобрёл карту и понял что здесь я буду проводить немало времени. Все удобства присутствуют: кафе, уборные, чилл-крыша. Был на выставке «Грядущий мир». Впечатлило. И ,судя по отзывам, здесь действительно много крутых событий. Буду рад еще увидеть летний кинотеатр!)",29 ноября 2019,Max Kap,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
115,"В самом гараже понравилось, но парковка около парка горького сумасшедшая по цене. Езжайте на общественном транспорте ...",31 января,А Б Я,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
116,"Зимой несколько раз с семьёй посещали каток, очень удобно, есть тёплые раздевалки. Каток огромный и нестандартной конфигурации, есть где покататься. Со своими коньками сеанс в несколько часов всего 250 рублей. Лучше в утренние часы-тогда народу поменьше",22 апреля 2019,Александр М.,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
117,"Современный и классный музей современного искусства:) Своя библиотека, приятное кафе, лекторий, кинотеатр и многое, многое другое!",10 марта 2020,Татьяна Ге,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
118,Хороший музей. И выставки интересные. Многодетным бесплатно.,5 ноября 2020,Aya Borisova,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
119,"Очень хороший вариант скрасить вечер, если вы интересуетесь современным искусством. Большое колличество разных выставок, разных тематик. Только положительные эмоции. Советую!",7 января 2020,Дима Варварин,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
120,"Мне очень понравилось! Современное концептуальное пространство, где все ясно и понятно. Очень вежливый персонал. Офигенные, продуманные ""от"" и ""до"" экспозиции. Спасибо! Советую!",29 сентября 2019,Ольга Парамонова,Знаток города 7 уровня,5,музей Гараж,"4,5",1061
121,"Очень интересное и стильное место!!! Музей будущего. Инсталляции и выставки задевают до глубины души. Веранда в кафе с дивным 
 садом и наивкуснейшими пирожными и кофе.",4 сентября 2019,Ирина,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
122,"Все ноют мол гараж - хипстерское модное местечко, искусство у вас пластмассовое, не кислокапустно-лапотное а завозное, госдеповское одним словом. А мне нравится, выставки интересные бывают. Кино кажут иной раз хорошее. Опять же удобно - придти за полтора часа до, и хорошенько выпить да покурить в кулак перед посещением, прямо тут, в парке. Почву так сказать унавозить перед приобщением. Одно не могу понять: от чего нет бабушек-смотрительниц в каждом зале? Я без них себя начинаю вести дурно. То ругнусь шепотком то почешусь упоенно перед шедевром а то и, прости господи дурака - зевну, а одернуть некому. Непорядок. Я только ради бабушек в музеи раньше ходил, они мне моральным ориентиром служили, и в стенах и вне.
ещё",26 августа 2019,Russian Coconut,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
123,очень интересные выставки современного искусства но очень непонятные,14 октября 2020,Darya Gogoleva,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
124,"Вообще-то очень хороший центр. Но в новогодние праздники мы пошли на выставку ""Секретики"", и кроме одного небольшого зала с этой экспозицией, всё было закрыто. За 300 рублей посмотреть 1 зал - ну, такое, знаете ли.",11 января 2020,Наталия Иваникова,Знаток города 14 уровня,4,музей Гараж,"4,5",1061
125,"Музей - пустышка. Был на экспозиции под названием 'Секретики'. Мало того, что всю экспозицию можно посмотреть за 5 минут, так и единственное впечатление, оставшееся от демонстрируемого подпольного творчества, - цензура нужна, в первую очередь для того, чтобы потом не приходилось лицезреть подобные экспонаты.
Что касается самого ""музея"" - музеем это место не является, скорее это арт пространство. И я бы мог решить, что, наверное, я невежда и чего-то не понимаю в современном искусстве, если бы до этого не бывал в подобных местах, в том же СПб.
Место скучное, организация на троечку, бар без закусок и без актуализации меню.
Не советую тратить свое время на это место.
ещё",29 декабря 2019,Alex Arkansas,Знаток города 7 уровня,1,музей Гараж,"4,5",1061
126,"Очень классное кафе, обязательно загляните после музея )",8 декабря 2020,Konstantin Fomin,Знаток города 3 уровня,5,музей Гараж,"4,5",1061
127,"Была два года назад. Прилетела из Лондона подружка с сыном, хотелось им показать какое-то модное место. Ничего интересного не было. Я даже не поняла, для чего это существует. Пустые понты. Откуда такой имидж?",19 августа 2020,Светлана Дежурнова,Знаток города 13 уровня,2,музей Гараж,"4,5",1061
128,"Были в августе, Помещение большое, экспонатов немного. Особого впечатления не произвело.",30 октября 2020,Алла Ларич,Знаток города 3 уровня,3,музей Гараж,"4,5",1061
129,"Несколько раз уже был на выставках в гараже, однако сформировать однозначно благоприятное или наоборот отрицательное мнение не получается. Каждый раз находится что-то, будь то выставка иностранца или русских авторов, что привлечёт своей оригинальностью и нетривиальным подтекстом с одной стороны, а с другой большая часть экспонатов проплывет незаметно мимо
ещё",13 ноября 2020,Константин,Знаток города 8 уровня,4,музей Гараж,"4,5",1061
130,"Отличное место, регулярные со вкусом подобранные выставки, кафе с профессиональным персоналом",11 августа 2020,Алексей Максимов,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
131,"Отличный музей современного искусства с массой регулярно сменяемых экспозиций, программой лекций, мастер-классов и кинопоказов.",11 февраля 2020,Сергей Соболев,Знаток города 12 уровня,5,музей Гараж,"4,5",1061
132,"Приветливые работники музея, всё объясняют. Музей на втором этаже, интересные экспонаты нашей истории, документы, картины. Можно фотографировать и фотографироваться.",7 февраля 2020,Sanda Ivanova,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
133,"Пришел туда с подругой и что это на самом деле:
я просто передал деньги людям, взамен я ничего не получил
У меня есть дом в области, там есть цокольный этаж метров 90кв, там много что есть и в пропорции со стоимостью входа в этот ""музей"" мне надо ставить вход 5000 и люди будут довольнее после посещения моего цокольного этажа, а не этого хлама, найденного на любой московской помойке
Проходите мимо, даже не щелкайте на иконку в ЯКартах, не тратьте время ради этого убожества
ещё",17 февраля 2020,Влад А.,Знаток города 4 уровня,1,музей Гараж,"4,5",1061
134,"Мне очень нравится это современное городское пространство в центральном парке Москвы. При входе тебя встречает вежливый сотрудник охраны, который просит показать сумку. Все очень любезно. Приятно, что так заботятся о безопасности. В музее много смотрителей, которые за всем следят. Самое любимое в этом месте -кафе. Отличный выбор блюд, которые невероятно вкусные. Официанты внимательные. Цены приемлимые. Я рекомендую.
ещё",9 июня 2019,Анна Коломоец,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
135,"Настоящая Мекка для поклонников современного искусства, постоянно слежу за обновлением экспозиций, и, как правило, музей часто предлагает что-то стоящее и интересное. Рекомендую всем, кто в теме.",18 сентября 2019,Евгения Л.,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
136,"Мне очень не понравился этот музей. Картины такое ощущение, что нарисовал ребенок. Сотрудники ходят за тобой по пятам, комментирует как подходить и дышать на так называемое творчество. Вообщем я не получила удовольствия от этого заведения, а наоборот кучу негативных эмоций.",5 июля 2020,Margo,Знаток города 9 уровня,1,музей Гараж,"4,5",1061
137,"Ходила с детьми 7 и 5 лет. Попали на выставку ""Секретики"" и на арт-эксперимент, связанный с запаха и. Сильнейшие впечатления и самые положительные эмоции. Дети рвутся снова!
Всем рекомендуем этот замечательный музей!",15 января 2020,577446 G.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
138,"Очень необычные темы экспозиций, много интерактива, видеоконтента. Есть возможность бесплатного посещения. Отличный книжный магазин. Посещение запоминается.",27 октября 2019,Марина К.,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
139,"Прекрасное кафе на первом этаже. Кроме того, что все очень вкусно и качественно, это единственное место в парке горького с нормальными ценами на еду! Вкусные завтраки и десерт меренговый рулет с малиной - хай рекоменд!",16 июня 2019,i.ivanish,Знаток города 13 уровня,5,музей Гараж,"4,5",1061
140,"Лучшее место в городе. Для#
Думать, искать, воспринимать, восхищаться, удивляться и ... вкусно поесть))",31 июля 2020,Irina Paramonova,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
141,"Пространство само по себе сделано очень круто, достойный книжный, вежливые сотрудники и охрана. Вместе с тем, сложно оценивать качество площадки, посетив одну только одну экспозицию, но не понравилось совершенно. Складывается впечатление, что кураторы или начисто лишены чувства вкуса и собственной позиции или просто везут экспонаты по принципу «сложнее щи — быстрее свиньи нажираются». Инсталляции совершенно не вызывают эмоциональных переживаний и не вызывают желания их понять. Возможно, для стерильной Европы это нормально, но «мы здесь в России мясо кушаем»
ещё",19 ноября 2018,Ирландская подголовница,Знаток города 5 уровня,3,музей Гараж,"4,5",1061
142,"Лучшее и любимое место на земле, отличное здание, приятная атмосфера, дополнительные ништяки, бесплатные лекции. Дорого на выставки ходить, но раз в полгода можно себе позволить",17 октября 2019,Мария Г.,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
143,"Были с ребенком летом. Пространство было отдано под экологические мероприятия. Восхитила экспозиция с тараканами на входе и сам маршрут следования по выставке, где проходишь сквозь комнаты, каждая из которых посвящена отдельной теме.",13 марта 2020,Екатерина Е.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
144,"Очень приятный современный музей. Хорошее оформление выставок, много пространства. В кафе просто бомбический свекольный супчик 😂 Есть довольно большой книжный магазин внутри, очень дорогой, но можно просто почитать книги (я с ребенком иногда захожу так) и выбрать что-то на потом 😊",2 декабря 2018,"Мария ""Как у Саввы""",Знаток города 9 уровня,5,музей Гараж,"4,5",1061
145,Атмосферно. Хороший музей современного искусства,2 марта,A.Kr,Знаток города 13 уровня,5,музей Гараж,"4,5",1061
146,"Комфортная среда для новых знаний. Помимо оригинальных экспозиций центра, в холле интересный магазин с книгами по искусству, кафе , удобное для личных встреч и занятий.",13 сентября 2019,Margo.,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
147,"Если вы интересуетесь современным искусством, то вам это обязательно для посещений. Часто бываю на просмотрах кинофильмов. Выбор всегда есть, афиша и календарь выставок обширный",5 ноября 2019,Наталия Евдокимова,Знаток города 7 уровня,5,музей Гараж,"4,5",1061
148,Очень интересно. Возникает желание узнать подробнее про экспонаты. Молодые люди дают небходимые разъяснения. Впечатляет. Особенно понравилась загадка экспоната с изобрадением портрета Эзопа. Никто не знал откуда он взялся . Разузнали. Желаю посетителям музея загадок и успехов в разгадывании. Внимательности.,29 февраля 2020,жанна морозова,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
149,"Экспозиции в Гараже, пожалуй, не всегда захватывающие, зато у них отличные лектории и мероприятия.",5 августа 2020,Софья Я.,Знаток города 4 уровня,4,музей Гараж,"4,5",1061
150,Интересное место. Периодически меняются выставки. Экспозицие такие больше нигде не увидеть,10 ноября 2020,Den,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
151,"Место современное, сильное, спокойное. Интересные выставки. Отдельно хочется отметить кафе. Внимательный, вежливый персонал. Дистанция между столиками. Приглушенная, ненавязчивая музыка. Разнообразное меню. Интересная подача. Завтраки весь день.",9 февраля 2019,Ekaterina A.,Знаток города 3 уровня,5,музей Гараж,"4,5",1061
152,Были вчера.В пятницу с 6 до 8 бесплатный вход.Попали на концерт классической музыки в честь недели Ррссийской-Британской дружбы.Концерт был особенный.Оркестр был рассредоточен по залу и можно было ходить между музыкантами.Супер.,8 февраля 2020,Павловская,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
153,"Очень на любителя, современное искусство очень своеобразное и не всем будет понятно. Да и на такую огромную площадь экспонатов не так много ... в целом для общего развития и убить час времени пойдет.",29 июля 2019,Артем С.,Знаток города 8 уровня,3,музей Гараж,"4,5",1061
154,Если вы любите современное искусство и готовы вдуматься в смыслы от авторов - вам сюда! Есть хорошее кафе и замечательный книжный магазин!,14 января 2020,Антон Николаев,Знаток города 12 уровня,5,музей Гараж,"4,5",1061
155,Супер! Очень люблю сюда приходить и всем рекомендую!,16 февраля,Наталия М.,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
156,"Красавчики! Интересно, современно, что вниманием к людям с ограниченными возможностями. Приятно побеседовао с куратором об эпохе, которая мне близка.",9 февраля 2020,Даниил О.,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
157,"Замечательное место отдыха для всей семьи! Всегда интересные выставки, гиды подготовлены "" на отлично"". Для семей с детьми-инвалидами предусмотрены отдельные программы и система скидок. Рекомендую!!!",11 января 2019,Марина Дарчинян,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
158,"Удобное месторасположение , интересные выставки",3 октября 2020,Эльдар Гериханов,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
159,"Странное место, странные экспонаты, но в этом современное искусство)) Плохо это или хорошо каждый решает сам) Мне было интересно)",15 июля 2020,Е.С.П.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
160,"Посетили музей ""Гараж"" - что я хочу сказать. Конечно же перед посещение надо посмотреть что за экспозицию выстовляет музей, для себя я поняла что ""Советский андеграунд"" мне совсем не понятен... Смогли попасть на экспозицию только на 2й этаж, остальные залы работали только исключительно по прегласительным.. Это расстроило..",31 декабря 2019,Наталья Воробцова,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
161,"Невежливая охрана, испортила все впечатление от музея, досматривают только парней, если вы девушка приносите что хотите :) У меня забрали воду, у девушки нет. Где тут логика?) А сам музей хороший, но как говорят ""театр начинается с вешалки"".",1 июля 2020,Роман Дронов,Знаток города 5 уровня,1,музей Гараж,"4,5",1061
162,"Там подают вкусную еду. Ценник не вот прямо безумный. Кафе в парке Горького, напоминаю. Место очень много. Мы там хорошо посидели. Официантка ооооочень приятная. В общем, рекомендую.",17 сентября 2019,Anastasia Kostina,Знаток города 3 уровня,5,музей Гараж,"4,5",1061
163,"Лучшее место!!! Руководитель Андрей, прекрасный мужчина и знающий своё дело!!!
Прекрасный экскурсовод Жанна, это отдельные аплодисменты!!! Всегда готова ответить на вопросы по экскурсии. Прислушивается к мнению группы, чтобы не стоять под часа на объекте,который менее интересен. Знает не заученный текст,а именно рассказывает от души и с дополнительной информацией! Спасибо этому прекрасному месту !
ещё",22 марта 2020,Каспер,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
164,"Иногда просто вау, а иногда ерунда какая то. Секретики - кому это интересно? Такое чувство что в старых чужих вещах роешься, противненько. Зато стильное кафе и интересный магазин на первом этаже, вобщем можно зайти, а с выставками - как повезёт.",10 апреля 2020,Наталья М.,Знаток города 6 уровня,4,музей Гараж,"4,5",1061
165,"Культовое место, готовят обалденно, цены норм, летом накрывают на улице, и конечно современное искусство, стены прозрачны удобно тупить с бокалом))",6 ноября 2019,Alex Караефф,Знаток города 16 уровня,5,музей Гараж,"4,5",1061
166,"Музей хороший, но иногда совсем неинтересные экспозиции ((",10 ноября 2020,Cap Curious,Знаток города 6 уровня,4,музей Гараж,"4,5",1061
167,"Ходили на выставку об экологии. Ничего нового для себя не узнали. Это не про реальные проблемы экологии, науку и т.п., это про молодых художников, которые пытаются впечатлить впечатлительную публику своими неуклюжими экспонатами. Не пытайтесь найти там логику. Кроме того, все оформлено крайне убого, без нормальных подписей и указателей. Короче, сами поймете, если ранее были в нормальных музеях.
Из плюсов - чистый туалет и более-менее хорошая кафешка.
ещё",15 ноября 2019,Герман,Знаток города 10 уровня,2,музей Гараж,"4,5",1061
168,"Одно из любимых мест в Москве. Выставка об экологии оказалась слабовата, но всегда приятно прийти в Гараж за вкусным завтраком, интересной книгой и просто хорошим настроением.",29 сентября 2019,Мария,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
169,"Если любите современное искусство , то вам точно сюда. Интересно. Необычно. Ценовая политика могла бы быть чуточку ниже и лояльнее.",22 февраля 2020,Радик Х.,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
170,Отличное кафе с доступными ценами. Хороший летник. Концептуальное искусство так себе. На любителя. Хороший контингент. Нет гопников. Можно с малыми детьми!!,6 октября 2019,Назим Г.,Знаток города 15 уровня,5,музей Гараж,"4,5",1061
171,"Музей расположен в Парке Горького, найти его несложно, есть указатели. Предусмотрено посещение маломобильными категориями. Интерьер оригинальный, много свободного пространства. Кафе дороговато, особенно когда хочется просто согреться горячим чаем, как в совковой столовке.",24 февраля 2020,Анна,Знаток города 18 уровня,5,музей Гараж,"4,5",1061
172,"Выставки с хранителями просто прекрасные, рекомендую",28 октября 2020,Helen Kalinicheva,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
173,"место неплохое, здание обустроено современно, приятно там находиться. однако это место меня разочаровало. мне 17, и я очень хотела попасть на выставку Павла Папперштейна, но меня не пустили, тк сама выставка 18+. почему так? из-за пары нецензурных слов или голых сисек? искусство должно принадлежать народу, а школьники – тоже народ. очень несправедливо, как мне кажется. обидно.
ещё",29 апреля 2019,Анисья Н.,Знаток города 3 уровня,2,музей Гараж,"4,5",1061
